,0
253,-191.8096506885584
254,-850.6384338111081
255,-191.8749599908097
256,-903.9370437809716
257,-225.4549048502523
258,-1079.9482668512487
259,-260.40252350565834
260,-915.8582501815446
261,-585.19391829144
262,-277.79841496345176
263,-313.54055827273424
264,-248.2363705239371
265,-1021.4546197607779
266,-129.76032767526576
267,-872.749562311263
268,-106.67640467706254
269,-365.8115538119091
270,-188.67757906577268
271,-858.751003883147
272,-925.9772694798534
273,-897.6662614542744
274,-95.70268298059138
275,-906.0613873820422
276,-269.30625727043594
277,-368.31708757179774
278,-1001.6792518177319
279,-629.3498509856453
280,-182.70642300762083
281,-943.4394409411476
282,-274.1874117279468
283,-205.15609798658562
284,-865.7648330167082
285,-230.82533082208266
286,-381.50214761229665
287,-161.59103574602955
288,-156.9019321127528
289,-391.61510280282414
290,-327.737213556325
291,-271.3369345681111
292,-893.8678617850393
293,-94.378395750868
294,-249.7984953798241
295,-855.679472584555
296,-317.92860048987535
297,-123.42890976985521
298,-320.900931958454
299,-1025.1293068044702
300,-226.86317459620332
301,-289.05017676202414
302,-384.5119993775404
303,-308.36446966767664
304,-179.09111756518436
305,-122.5338967830248
306,-449.2723332139884
307,-987.7758848090763
308,-1056.2282167555877
309,-259.07811107061883
310,-1069.6041659592117
311,-913.8999992310785
312,-849.9098546135281
313,-132.7758185326031
314,-334.55671829801275
315,-986.274920741512
316,-968.5612837025421
317,-379.53261663784815
318,-169.7090091135296
319,-111.13125979097182
320,-837.3087319131878
321,-1025.199261814345
322,-150.62461314805503
323,-150.09490884129255
324,-296.7951466156651
325,-306.8534724446679
326,-240.90641360986774
327,-158.56497393254142
328,-137.83695594648592
329,-970.2993807438305
330,-175.46285209396825
331,-901.5451858730336
332,-142.9966113877935
333,-884.5117846145932
334,-889.3536341040723
335,-286.55089899799486
336,-216.1122250171147
337,-896.5340469459928
338,-133.35746090663707
339,-134.87262400929063
340,-292.8199161074264
341,-953.3735534525986
342,-851.1269790164541
343,-891.0718334639182
344,-179.55669441831768
345,-855.4251361813476
346,-129.0191822893208
347,-1004.58209764473
348,-961.0404257239487
349,-333.94966408209564
350,-126.74363217464578
351,-1029.5421561083351
352,-97.25289005092436
353,-924.7542454686145
354,-109.98015445785663
355,-302.33634846199226
356,-987.0873187475353
357,-259.8176727808659
358,-334.67077718393637
359,-275.5720603435477
360,-122.9009234593488
361,-115.67220738266151
362,-107.69307460275714
363,-186.03743360088902
364,-1050.9701404654975
365,-137.2529036678126
366,-201.73408107992748
367,-891.5854657312236
368,-275.20732280215805
369,-283.02970067256996
370,-226.20918523361337
371,-934.6503888577518
372,-247.05936247930242
373,-196.95720149932927
374,-990.4232356517516
375,-369.2614680930493
376,-213.50182719475865
377,-1010.9684512157331
378,-124.40743452908387
379,-199.04047188922286
380,-282.11989545714886
381,-846.9412735695921
382,-975.6242005986588
383,-925.8623236010794
384,-121.37470264938955
385,-1009.3235441081803
386,-110.18368555457927
387,-183.4564757194318
388,-127.61407916793193
389,-143.49972327698825
390,-194.7565543883452
391,-534.2478025133336
392,-88.32638417613377
393,-269.73185117009587
394,-853.8884949300426
395,-953.1458417812228
396,-143.20551395405485
397,-133.35857017472136
398,-887.0956688665938
399,-112.48257605306834
400,-920.6868340357346
401,-1057.2509581895217
402,-923.2387274777478
403,-907.777009305151
404,-275.99237321656625
405,-885.9523747017307
406,-117.65379905287035
407,-1083.4942941076856
408,-256.6761424139367
409,-859.2344657370878
410,-1073.6006424322443
411,-141.16885285325026
412,-162.57391721009597
413,-192.96344888134198
414,-138.83883149656947
415,-892.1591570308199
416,-894.1154509380594
417,-242.41084712413715
418,-954.7739797859206
419,-182.1833998164793
420,-333.40356315480227
421,-180.6742978404578
422,-107.7881593755842
423,-878.9529598823348
424,-929.5952458437172
425,-919.785094021552
426,-1028.2074272154314
427,-138.03190112583044
428,-154.09915561692293
429,-1025.0467788217638
430,-131.80992285914954
431,-889.766756494914
432,-246.5489061115544
433,-134.11000880376076
434,-904.3172255001396
435,-871.7565932757229
436,-874.8422534306169
437,-852.1385813723073
438,-905.20299171573
439,-172.93223441269538
440,-108.62025859601144
441,-153.96348433664727
442,-149.68011232927506
443,-148.544569326504
444,-239.56197156937125
445,-339.2392990249763
446,-101.83236361100613
447,-203.45897695292285
448,-198.67669012775866
449,-227.6275168126373
450,-954.0092272510556
451,-177.42015552582916
452,-130.68252554129415
453,-129.8356260692113
454,-918.2763477298801
455,-183.5909850867183
456,-840.7010510627501
457,-854.891730189551
458,-164.0648939167371
459,-989.0979367566392
460,-273.2587024806465
461,-171.99553699056727
462,-225.61397512797825
463,-144.8651984009018
464,-100.23168118091314
465,-939.9528309695828
466,-161.67068094636807
467,-918.6022359258768
468,-148.85471673618034
469,-208.87673995330977
470,-128.60816271029438
471,-185.5820923501241
472,-851.609298511225
473,-278.8255164674702
474,-130.74095645570327
475,-124.56494123470391
476,-294.6064360014028
477,-884.9434785289127
478,-326.24853543088926
479,-271.06934319298
480,-862.4659202034521
481,-352.3532147877917
482,-1004.202303171101
483,-296.84920607927234
484,-985.9703955027068
485,-270.2713400671751
486,-118.11439192393807
487,-93.48133027450922
488,-214.44437233852952
489,-875.712319916749
490,-121.00603077609034
491,-138.0525759553191
492,-151.6926229955555
493,-299.6915542745427
494,-295.98568008984716
495,-957.845792144599
496,-113.43899591064925
497,-272.2368175582375
498,-937.3787387339272
499,-873.3617965005916
500,-912.1096649538517
501,-951.8869205270697
502,-152.59702632388394
503,-843.6463063792165
504,-145.29596398966325
505,-935.8952996884684
506,-164.07990582042018
507,-114.38312132897889
508,-930.6531516506657
509,-971.729364697798
510,-135.40298853972675
511,-892.2382910751808
512,-128.32601288429515
513,-299.2997650699153
514,-965.2072185184695
515,-231.6285145162702
516,-135.40344739453417
517,-964.4613303702004
518,-857.4660064267142
519,-100.20682598966013
520,-345.0346251751955
521,-223.27865716796325
522,-856.217770945736
523,-175.53010752782922
524,-852.5277867737105
525,-310.52120759874
526,-850.062423593022
527,-875.8028308554888
528,-149.3418657069367
529,-208.2756353011103
530,-302.4973874793082
531,-189.36935519839963
532,-107.54606264215558
533,-128.27856459597808
534,-124.95759457701973
535,-143.6882121019775
536,-921.6298462215326
537,-861.6695472589015
538,-1029.941438995116
539,-133.02128595302955
540,-291.31714881976774
541,-127.48905744020627
542,-108.95847577259823
543,-153.67578033675898
544,-868.83177379442
545,-911.1734793130862
546,-93.086899187951
547,-862.370677555922
548,-206.21145137344337
549,-136.04606891148885
550,-339.6745500094649
551,-999.3515390730042
552,-889.325334741184
553,-269.82819862999946
554,-876.8562347266245
555,-111.18605239353978
556,-845.4594796316924
557,-944.7662117955283
558,-940.303014496002
559,-122.58094116127333
560,-253.34473899631158
561,-238.5851851140856
562,-127.67112432005077
563,-178.8619816432053
564,-144.92710652506344
565,-862.658867464358
566,-316.4572963485393
567,-944.8405477250869
568,-156.72708525024166
569,-858.6070043564999
570,-146.2325246130037
571,-182.30256085840202
572,-939.6391104002561
573,-879.7885555912267
574,-123.55761828689127
575,-256.97429455922065
576,-153.56159763694316
577,-233.02882430023618
578,-181.4462978778835
579,-126.75814809542376
580,-172.7033359562966
581,-279.6161590618284
582,-107.62186461926954
583,-193.19033643721463
584,-124.71270025895667
585,-855.6664986086812
586,-845.5957917665352
587,-199.5022502143532
588,-839.536635737769
589,-197.5063372575427
590,-181.14164057571918
591,-341.71089215383597
592,-113.66637924665488
593,-294.15513278651235
594,-973.4181426155288
595,-96.39943719565764
596,-967.0945248656167
597,-314.7800300507466
598,-286.7934437558572
599,-1005.3755825694084
600,-92.13783841721393
601,-899.7874137370644
602,-138.55747682286872
603,-108.55721207699338
604,-255.18214789451483
605,-133.18880213520396
606,-842.559874949648
607,-128.77339079875188
608,-193.3932287854133
609,-979.6002748131164
610,-276.22731972409895
611,-143.42427632575075
612,-92.54246404146127
613,-909.6908021653927
614,-842.9972261718377
615,-897.7417604847693
616,-127.67975591253466
617,-97.01281984077438
618,-957.7834393919983
619,-928.0847369648418
620,-992.8858000225662
621,-119.32081143845716
622,-82.23259705393954
623,-67.71057451729854
624,-913.4255293081484
625,-102.6276514385549
626,-908.1541246666966
627,-80.92838404482072
628,-327.0467362426433
629,-205.45281036911845
630,-97.44729120607329
631,-904.1841682572988
632,-941.8625206913681
633,-104.06162248228762
634,-192.75628521281385
635,-176.15111912193626
636,-134.30003555000354
637,-102.06470747637353
638,-347.334771751291
639,-188.38840180420274
640,-916.7035772658751
641,-118.15932949704656
642,-114.69098236924573
643,-98.68743450528692
644,-875.7783955404104
645,-85.39363720899757
646,-283.63483291813395
647,-893.6034676970007
648,-78.99861965056638
649,-157.94388708680034
650,-184.38620511877173
651,-300.3415462191805
652,-288.1266326312945
653,-136.43686399770615
654,-900.7005117945446
655,-140.04899327834357
656,-913.0795561008331
657,-986.4177670538978
658,-79.70548295661109
659,-857.203702053149
660,-104.97078370274802
661,-249.7588486045915
662,-179.45791138538524
663,-974.0289599707332
664,-111.38214330349416
665,-140.4053541968338
666,-998.6168674746676
667,-93.31663980027169
668,-81.89673232874249
669,-985.2840974087005
670,-126.7196630041281
671,-141.43934710808793
672,-104.73393059028984
673,-127.92031044118053
674,-859.2069612707323
675,-117.98992740330102
676,-900.7280733470234
677,-144.4001115137747
678,-65.57607068270308
679,-885.230899033403
680,-101.22573061041666
681,-83.2699397659433
682,-130.44984584077977
683,-161.19921847517793
684,-881.5635112259386
685,-961.0788371594542
686,-944.5780046429079
687,-180.1643358224898
688,-106.78623269107139
689,-893.6187031700972
690,-133.0742607421066
691,-97.67519911555638
692,-124.51183133935366
693,-958.0957469575616
694,-912.3168337839627
695,-259.89645141105495
696,-93.49995851159734
697,-951.8140679581263
698,-210.70249571440715
699,-60.596764395661246
700,-113.83174405173267
701,-942.2023968963344
702,-266.6607645915643
703,-183.81195211374708
704,-868.80272374935
705,-98.85519749173237
706,-141.27862257236367
707,-92.39868767294284
708,-161.94266871633505
709,-118.77832471563255
710,-978.0256486041469
711,-316.0444023607739
712,-121.4142188509545
713,-108.19229904640787
714,-135.65797224818164
715,-129.16113430376558
716,-329.2812803630725
717,-120.02298081147092
718,-960.4475306915148
719,-292.2625863617316
720,-121.83968027931756
721,-944.677627872011
722,-891.4579462041216
723,-862.9665704046402
724,-72.74327934309812
725,-106.95792443521461
726,-912.653015503264
727,-909.1325448899365
